City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,huarmey,-10.0681,-78.1522,25.19,77,100,3.71,PE,1679447607
1,atuona,-9.8,-139.0333,26.71,68,2,5.26,PF,1679447608
2,upernavik,72.7868,-56.1549,-27.56,100,69,1.89,GL,1679447337
3,bluff,-46.6,168.3333,12.01,60,100,5.65,NZ,1679447609
4,sesheke,-17.4759,24.2968,18.24,91,57,2.03,ZM,1679447610
5,alice springs,-23.7,133.8833,31.75,40,0,1.54,AU,1679447610
6,manado,1.487,124.8455,25.43,94,40,1.03,ID,1679447611
7,bambous virieux,-20.3428,57.7575,24.01,76,5,3.83,MU,1679447611
8,san francisco,37.7749,-122.4194,9.62,89,100,18.52,US,1679447597
9,pilar,-9.5972,-35.9567,22.96,86,100,1.81,BR,1679447612
10,bredasdorp,-34.5322,20.0403,17.24,86,100,0.78,ZA,1679447613
11,santa maria,-29.6842,-53.8069,23.19,78,100,4.65,BR,1679447536
12,chuy,-33.6971,-53.4616,19.25,61,100,2.39,UY,1679447613
13,cape town,-33.9258,18.4232,17.28,92,20,3.09,ZA,1679447614
14,lorengau,-2.0226,147.2712,29.45,66,12,2.91,PG,1679447614
15,rikitea,-23.1203,-134.9692,26.53,75,100,5.5,PF,1679447615
16,half moon bay,37.4636,-122.4286,9.66,91,100,15.43,US,1679447615
17,bubaque,11.2833,-15.8333,24.47,72,3,6.58,GW,1679447616
18,punta arenas,-53.15,-70.9167,10.06,66,0,15.95,CL,1679447616
19,lavrentiya,65.5833,-171.0,-11.42,89,100,6.41,RU,1679447616
20,guerrero negro,27.9769,-114.0611,21.12,52,100,5.35,MX,1679447610
21,ponta do sol,32.6667,-17.1,17.35,64,2,2.62,PT,1679447617
22,xixiang,35.1628,112.865,17.09,24,90,3.54,CN,1679447618
23,kafue,-15.7691,28.1814,16.5,96,24,1.6,ZM,1679447618
24,mbale,1.0821,34.175,17.97,80,83,1.58,UG,1679447618
25,tasiilaq,65.6145,-37.6368,-9.91,56,14,2.02,GL,1679447619
26,bethel,41.3712,-73.414,10.45,46,0,0.0,US,1679447619
27,port alfred,-33.5906,26.891,15.66,92,55,4.28,ZA,1679447620
28,ushuaia,-54.8,-68.3,10.81,58,40,6.69,AR,1679447620
29,butaritari,3.0707,172.7902,27.29,77,8,7.38,KI,1679447621
30,wajir,1.7471,40.0573,26.97,65,100,5.69,KE,1679447621
31,victoria,22.2855,114.1577,26.03,81,100,4.92,HK,1679447330
32,esperance,-33.8667,121.9,21.1,65,13,7.92,AU,1679447622
33,hilo,19.7297,-155.09,28.85,67,0,7.2,US,1679447622
34,hermanus,-34.4187,19.2345,17.67,87,100,2.75,ZA,1679447622
35,ahipara,-35.1667,173.1667,19.34,54,0,5.58,NZ,1679447623
36,fort-shevchenko,44.5086,50.263,10.12,49,100,4.48,KZ,1679447623
37,cayenne,4.9333,-52.3333,24.02,94,70,0.0,GF,1679447624
38,souillac,-20.5167,57.5167,24.71,81,6,3.49,MU,1679447624
39,rogovatoye,51.23,38.3818,1.74,88,84,2.62,RU,1679447625
40,padang,-0.9492,100.3543,25.03,77,97,1.14,ID,1679447625
41,new norfolk,-42.7826,147.0587,16.06,51,100,1.34,AU,1679447444
42,bowen,-20.0167,148.2333,28.34,60,17,8.95,AU,1679447626
43,roald,62.5833,6.1333,4.86,93,100,4.63,NO,1679447626
44,albany,42.6001,-73.9662,6.87,57,100,1.87,US,1679447390
45,jennings,38.7192,-90.2604,6.22,87,100,6.69,US,1679447627
46,biak,-0.9131,122.8766,26.54,81,98,3.0,ID,1679447627
47,busselton,-33.65,115.3333,21.4,65,1,4.86,AU,1679447628
48,comodoro rivadavia,-45.8667,-67.5,12.92,47,0,2.06,AR,1679447628
49,wajid,3.8093,43.2471,25.82,72,2,6.39,SO,1679447628
50,tiksi,71.6872,128.8694,-27.43,92,34,4.58,RU,1679447629
51,ilulissat,69.2167,-51.1,-7.99,79,100,1.54,GL,1679447537
52,cabo san lucas,22.8909,-109.9124,27.01,63,0,5.14,MX,1679447630
53,avarua,-21.2078,-159.775,30.03,74,40,2.57,CK,1679447630
54,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,51,20,3.0,RU,1679447630
55,hobart,-42.8794,147.3294,16.26,59,75,4.63,AU,1679447620
56,dvinskoy,62.1535,45.1175,-7.65,97,98,2.44,RU,1679447631
57,ancud,-41.8697,-73.8203,10.23,87,0,1.99,CL,1679447632
58,mahebourg,-20.4081,57.7,24.03,76,5,3.84,MU,1679447632
59,kavaratti,10.5669,72.642,27.37,62,77,5.58,IN,1679447633
